"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/login/layout.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/login/page.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 106
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/news/[id]/edit/page.tsx", "TypeScript JSX", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 247
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/news/new/page.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 192
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/news/page.tsx", "TypeScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 141
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/projects/[id]/edit/page.tsx", "TypeScript JSX", 0, 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45, 498
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/projects/new/page.tsx", "TypeScript JSX", 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42, 453
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/projects/page.tsx", "TypeScript JSX", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 146
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/reviews/[id]/page.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/reviews/new/page.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/reviews/page.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 121
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/settings/page.tsx", "TypeScript JSX", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 246
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/testimonials/[id]/edit/page.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 235
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/testimonials/new/page.tsx", "TypeScript JSX", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 183
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/testimonials/page.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 145
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/users/[id]/edit/page.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 196
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/users/new/page.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 160
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/users/page.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 130
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/activity/route.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 125
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/applications/[id]/route.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 94
